map_name,raw_box_size_pixel,raw_pixel_size_angstrom
emd_27919,440,1.3
emd_28887,256,1.056
emd_29789,464,0.8232
emd_29790,464,0.8232
emd_29800,496,0.7125
emd_29807,496,0.824
emd_29862,400,0.82
emd_33792,260,1.06
emd_33795,280,1.071
emd_34082,256,1.048
emd_34207,256,1.074
emd_34212,256,1.074
emd_34287,256,1.1
emd_34725,800,0.668
emd_35328,512,0.82
emd_14480,486,1.1
emd_14803,320,0.945
emd_14956,408,0.905
emd_16016,270,0.832
emd_16152,400,1.08
emd_26610,552,0.86
emd_27538,330,1.2
emd_27539,240,0.99
emd_27549,256,0.891
emd_28163,260,1.056
emd_28167,260,1.069
emd_28807,288,1.06
emd_29864,400,0.82
emd_29871,360,0.91
emd_29872,240,1.365
emd_29873,240,1.365
emd_32555,320,1.046
emd_32574,320,1.046
emd_32576,320,1.064
emd_32578,320,1.064
emd_32579,320,1.046
emd_32583,320,1.064
emd_33186,360,1.076
emd_33659,400,1.06
emd_33683,400,1.06
emd_33788,280,1.071
emd_34258,512,1.08
emd_34288,256,1.1
emd_34289,256,1.1
emd_34291,256,1.1
emd_34292,256,1.1
emd_34407,512,0.832
emd_34408,512,0.832
emd_34803,108,1.162
emd_34804,108,1.162
emd_34824,104,1.4229
emd_35345,200,1.071
emd_15382,640,0.818
emd_16311,320,1.02
emd_26560,400,0.98
emd_26563,256,1.07
emd_26565,256,1.07
emd_27910,440,1.3
emd_29888,200,1.64
emd_29889,200,1.64
emd_29891,200,1.64
emd_32922,256,1.318
emd_34206,256,1.074
emd_34208,256,0.836
emd_34640,320,0.668
emd_34834,256,1.074
emd_34837,256,1.074
emd_35305,240,1.37
emd_35317,240,1.37
emd_35318,240,1.37
emd_35319,240,1.37
emd_35320,240,1.37
emd_35321,240,1.37
emd_35325,240,1.37
emd_35469,296,1.35
emd_35470,256,1.35
emd_35479,584,1.32
emd_40178,440,1.447
emd_14421,300,1.06
emd_14468,300,1.085
emd_14469,300,1.06
emd_14584,320,1.059
emd_15052,256,0.86
emd_15295,432,1.07
emd_15393,256,0.836
emd_15680,280,1.52
emd_15681,280,1.52
emd_16299,500,0.855
emd_16494,300,1.25
emd_16495,300,1.25
emd_16496,300,1.25
emd_16499,300,1.25
emd_16502,300,1.25
emd_16503,300,1.25
emd_16506,300,1.25
emd_16508,300,1.25
emd_16509,300,1.25
emd_27318,180,1.4600002
emd_27382,264,0.832
emd_28655,270,0.832
emd_28656,200,1.1
emd_28797,256,1.083
emd_29045,352,1.07
emd_29456,440,0.8322
emd_29494,400,0.825
emd_29788,496,0.824
emd_32923,256,1.318
emd_32926,256,1.318
emd_33136,224,0.85
emd_33164,300,1.34
emd_33166,760,1.34
emd_33167,600,1.34
emd_33798,280,1.071
emd_33856,400,0.8489999
emd_33859,400,0.8489999
emd_33860,400,0.8489999
emd_33875,256,1.08
emd_40033,300,0.88400006
emd_40094,480,0.825
emd_14470,300,1.06
emd_14707,400,0.86
emd_14708,400,0.828
emd_15678,224,1.658
emd_15679,224,1.658
emd_16497,300,1.25
emd_16498,300,1.25
emd_16500,300,1.25
emd_16501,300,1.25
emd_16504,300,1.25
emd_28783,256,1.08
emd_28784,256,1.08
emd_28785,256,1.08
emd_28786,324,1.083
emd_28790,324,1.083
emd_28791,324,1.083
emd_28794,256,1.083
emd_28818,320,1.04622
emd_28902,280,0.9
emd_28915,350,0.83
emd_29055,352,1.07
emd_29454,440,0.8322
emd_29491,400,0.825
emd_29507,432,1.0
emd_29509,378,1.0
emd_29510,512,1.0
emd_33168,600,1.34
emd_33330,420,1.059
emd_33547,400,0.85
emd_33806,320,1.07
emd_33855,400,0.8489999
emd_33857,400,0.8489999
emd_33873,256,1.08
emd_33874,256,1.08
emd_35399,194,0.76500005
emd_35400,188,0.765
emd_14088,916,1.365431
emd_14093,286,1.394098
emd_14562,320,1.059
emd_15554,360,0.83900005
emd_15865,480,1.25
emd_16377,400,1.03625
emd_26652,338,1.1
emd_26658,540,0.66
emd_26660,432,0.94
emd_26668,384,0.81
emd_27228,340,0.85
emd_27231,400,0.86
emd_28584,256,1.66
emd_29779,256,0.834
emd_29786,464,0.8232
emd_33135,224,0.85
emd_33138,224,0.85
emd_33145,256,1.061
emd_33146,384,0.82
emd_33162,400,2.01
emd_33163,400,2.01
emd_33170,500,1.34
emd_33538,320,1.08
emd_33778,320,1.36
emd_33780,320,1.36
emd_33805,320,1.07
emd_33811,256,0.82
emd_33812,256,0.82
emd_33813,256,0.82
emd_33814,256,0.82
emd_33816,256,0.82
emd_34115,240,0.92
emd_35526,320,0.85
emd_14090,286,1.394098
emd_14534,280,1.059
emd_15704,500,0.839
emd_15868,480,1.25
emd_25838,256,1.24
emd_26487,352,0.852
emd_26504,352,0.852
emd_26659,432,1.1
emd_27221,400,0.86
emd_27227,400,0.85
emd_28947,256,0.804
emd_28948,256,0.81625
emd_29212,240,1.447
emd_29214,416,1.447
emd_29301,256,0.88
emd_29303,256,0.87999994
emd_33147,384,0.82
emd_33154,224,0.92
emd_33155,380,0.83
emd_33789,290,1.071
emd_33791,290,1.071
emd_33793,280,0.83
emd_33837,240,0.97
emd_33919,256,1.318
emd_33920,256,1.318
emd_34029,320,0.822
emd_34073,256,1.093
emd_34674,290,1.071
emd_35135,256,1.03
emd_35223,224,0.85
emd_13984,256,2.22
emd_14554,280,1.059
emd_15648,300,0.86
emd_15651,300,0.86
emd_15652,300,0.86
emd_15971,400,0.7303
emd_16276,500,1.059
emd_16353,180,1.302
emd_26141,300,1.1
emd_26482,384,0.852
emd_27079,256,1.24
emd_27246,380,0.8600001
emd_27495,400,1.346
emd_27774,360,1.1
emd_27935,300,1.0825
emd_27944,300,1.0825
emd_28087,256,0.828
emd_28854,320,1.03
emd_28862,320,1.15
emd_28896,288,0.81
emd_29505,378,1.0
emd_29506,512,1.0
emd_29837,400,0.805
emd_29843,200,1.61
emd_29850,240,1.06
emd_32930,400,0.83
emd_33065,218,0.829
emd_33066,158,0.82899994
emd_33711,208,0.985
emd_33713,208,0.985
emd_34464,480,0.86
emd_34820,300,1.095
emd_14776,800,0.83
emd_16228,500,0.82
emd_26130,300,0.855
emd_27113,448,1.045
emd_27558,384,0.91
emd_27560,384,0.91
emd_27573,384,0.91
emd_27770,360,1.1
emd_27771,360,1.1
emd_27772,360,1.1
emd_27773,360,1.1
emd_27942,300,1.076
emd_27956,300,1.0825
emd_29019,300,0.84
